id,title,description,availability,condition,price,link,image_link,brand
40323,GUANTE DE NITRILO G10 KLEENGUARD TALLA S AZUL 30193260,GUANTE DE NITRILO G10 KLEENGUARD TALLA S AZUL 30193260,out of stock,new,114400 COP,https://estrategias-ltda.com/p-40323-guante-de-nitrilo-g10-kleenguard-talla-s-azul-30193260,https://estrategia-web.s3.amazonaws.com/products/40323/G10 Blue Nitrile.jpg-2020-12-15-15:32:22.jpeg,Kleenguard
40324,GUANTE DE NITRILO G10 KLEENGUARD TALLA M AZUL 30193261,GUANTE DE NITRILO G10 KLEENGUARD TALLA M AZUL 30193261,out of stock,new,114400 COP,https://estrategias-ltda.com/p-40324-guante-de-nitrilo-g10-kleenguard-talla-m-azul-30193261,https://estrategia-web.s3.amazonaws.com/products/40324/caja guantes G10.png-2020-12-15-15:46:17.png,Kleenguard
40325,GUANTE DE NITRILO G10 KLEENGUARD TALLA L AZUL 30193262,GUANTE DE NITRILO G10 KLEENGUARD TALLA L AZUL 30193262,out of stock,new,114400 COP,https://estrategias-ltda.com/p-40325-guante-de-nitrilo-g10-kleenguard-talla-l-azul-30193262,https://estrategia-web.s3.amazonaws.com/products/40325/caja guantes G10.png-2020-12-15-15:47:02.png,Kleenguard
40326,TRAJE KLEENGUARD A40 LIQUIDO Y PARTICULAS CAPUCHA BLANCO TALLA XL 30179882,TRAJE KLEENGUARD A40 LIQUIDO Y PARTICULAS CAPUCHA BLANCO TALLA XL 30179882,in stock,new,24932 COP,https://estrategias-ltda.com/p-40326-traje-kleenguard-a40-liquido-y-particulas-capucha-blanco-talla-xl-30179882,https://estrategia-web.s3.amazonaws.com/products/40326/A40 capucha sin botin.jpg-2020-12-15-16:11:30.jpeg,Kleenguard
40327,TRAJE KLEENGUARD A35 LIQUIDO Y PARTICULAS CAPUCHA BLANCO TALLA L 30216581,TRAJE KLEENGUARD A35 LIQUIDO Y PARTICULAS CAPUCHA BLANCO TALLA L 30216581,in stock,new,18090 COP,https://estrategias-ltda.com/p-40327-traje-kleenguard-a35-liquido-y-particulas-capucha-blanco-talla-l-30216581,https://estrategia-web.s3.amazonaws.com/products/40327/traje A30.png-2020-12-15-16:23:01.png,Kleenguard
40328,TRAJE KLEENGUARD A35 LIQUIDO Y PARTICULAS CAPUCHA BLANCO TALLA XL 30216582,TRAJE KLEENGUARD A35 LIQUIDO Y PARTICULAS CAPUCHA BLANCO TALLA XL 30216582,in stock,new,18090 COP,https://estrategias-ltda.com/p-40328-traje-kleenguard-a35-liquido-y-particulas-capucha-blanco-talla-xl-30216582,https://estrategia-web.s3.amazonaws.com/products/40328/traje A30.png-2020-12-15-16:23:37.png,Kleenguard
40329,GAFAS PROTECCION VISUAL V10 KLEENGUARD LENTE CLARO 30218276,GAFAS PROTECCION VISUAL V10 KLEENGUARD LENTE CLARO 30218276,in stock,new,3884 COP,https://estrategias-ltda.com/p-40329-gafas-proteccion-visual-v10-kleenguard-lente-claro-30218276,https://estrategia-web.s3.amazonaws.com/products/40329/30225276.jpg-2020-12-15-16:26:28.jpeg,Kleenguard
40330,Paños de limpieza Wypall X70 Rollo Regular con Power Pockets x 88 Paños,"Paños de limpieza WypAll X70 Rollo Regular                                                               Con Power Pockets                                                                                                                          88 paños 
 Ancho de la hoja: 282 mm Gramaje: 87,6 gr 


Beneficios :

1. Paños de limpieza
2. Con Power Pockets™
3. Paños X70: Mayor resistencia y absorción de aceites y líquidos.        
* La información comparativa utilizada es directamente relacionada con los productos del portafolio Kimberly Clark-Professional* ( X70 vs X60)      ",in stock,new,27493 COP,https://estrategias-ltda.com/p-40330-panos-de-limpieza-wypall-x70-rollo-regular-con-power-pockets-x-88-panos,https://estrategia-web.s3.amazonaws.com/products/40330/30214572.jpg-2020-12-15-16:36:33.jpeg,WypAll
40331,GUANTE DE NITRILO G29 KLEENGUARD TALLA L AZUL 30226003,GUANTE DE NITRILO G29 KLEENGUARD TALLA L AZUL 30226003,in stock,new,112050 COP,https://estrategias-ltda.com/p-40331-guante-de-nitrilo-g29-kleenguard-talla-l-azul-30226003,https://estrategia-web.s3.amazonaws.com/products/40331/Guante G29 Resistente a solventes.jpg-2020-12-15-16:40:03.jpeg,Kleenguard
40332,GUANTE DE NITRILO G29 KLEENGUARD TALLA M AZUL 30226002,GUANTE DE NITRILO G29 KLEENGUARD TALLA M AZUL 30226002,in stock,new,112050 COP,https://estrategias-ltda.com/p-40332-guante-de-nitrilo-g29-kleenguard-talla-m-azul-30226002,https://estrategia-web.s3.amazonaws.com/products/40332/Guante G29 Resistente a solventes.jpg-2020-12-15-16:43:10.jpeg,Kleenguard
40333,GUANTE DE POLIURETANO G40 KLEENGUARD TALLA 9 NEGRO 30222042,GUANTE DE POLIURETANO G40 KLEENGUARD TALLA 9 NEGRO 30222042,in stock,new,8428 COP,https://estrategias-ltda.com/p-40333-guante-de-poliuretano-g40-kleenguard-talla-9-negro-30222042,https://estrategia-web.s3.amazonaws.com/products/40333/Guantes G40 Poliuretano +.jpg-2020-12-15-16:47:20.jpeg,Kleenguard
40334,GUANTE DE POLIURETANO G40 KLEENGUARD TALLA 10-XL 30223236,GUANTE DE POLIURETANO G40 KLEENGUARD TALLA 10-XL 30223236,in stock,new,18856 COP,https://estrategias-ltda.com/p-40334-guante-de-poliuretano-g40-kleenguard-talla-10-xl-30223236,https://estrategia-web.s3.amazonaws.com/products/40334/Guantes-G40-Poliuretano.jpg-2020-12-15-16:49:57.jpeg,Kleenguard
40335,GUANTE DE LATEX G40 KLEENGUARD TALLA 9 GRIS/NEGRO 30222069,GUANTE DE LATEX G40 KLEENGUARD TALLA 9 GRIS/NEGRO 30222069,out of stock,new,10980 COP,https://estrategias-ltda.com/p-40335-guante-de-latex-g40-kleenguard-talla-9-grisnegro-30222069,https://estrategia-web.s3.amazonaws.com/products/40335/Guantes-G40-Latex.jpg-2020-12-16-08:18:25.jpeg,Kleenguard
40336,TRAJE KLEENGUARD A40 LIQUIDO Y PARTICULAS CAPUCHA BLANCO TALLA L 30179883,TRAJE KLEENGUARD A40 LIQUIDO Y PARTICULAS CAPUCHA BLANCO TALLA L 30179883,in stock,new,24932 COP,https://estrategias-ltda.com/p-40336-traje-kleenguard-a40-liquido-y-particulas-capucha-blanco-talla-l-30179883,https://estrategia-web.s3.amazonaws.com/products/40336/A40 capucha sin botin.jpg-2020-12-16-08:20:46.jpeg,Kleenguard
40337,TRAJE KLEENGUARD A30 LIQUIDO Y PARTICULAS CAPUCHA BLANCO TALLA XL 30179884,TRAJE KLEENGUARD A30 LIQUIDO Y PARTICULAS CAPUCHA BLANCO TALLA XL 30179884,in stock,new,19370 COP,https://estrategias-ltda.com/p-40337-traje-kleenguard-a30-liquido-y-particulas-capucha-blanco-talla-xl-30179884,https://estrategia-web.s3.amazonaws.com/products/40337/traje A30.png-2020-12-16-08:21:22.png,Kleenguard
40338,TRAJE KLEENGUARD A40 LIQUIDO Y PARTICULAS CAPUCHA BLANCO TALLA M 30179886,TRAJE KLEENGUARD A40 LIQUIDO Y PARTICULAS CAPUCHA BLANCO TALLA M 30179886,out of stock,new,24932 COP,https://estrategias-ltda.com/p-40338-traje-kleenguard-a40-liquido-y-particulas-capucha-blanco-talla-m-30179886,https://estrategia-web.s3.amazonaws.com/products/40338/A40 capucha sin botin.jpg-2020-12-16-08:22:34.jpeg,Kleenguard
